gene_name	source	accession	description
GRMZM5G801299	UniProtKB/TrEMBL	C0HFI2	Putative uncharacterized protein 
GRMZM2G000665	UniProtKB/TrEMBL	B4FRX3	Putative uncharacterized protein 
GRMZM2G082448	RefSeq peptide	NP_001149546	protein Mo25 
GRMZM5G837663	UniProtKB/TrEMBL	C4IZZ9	Putative uncharacterized protein 
GRMZM5G810312	UniProtKB/TrEMBL	C0PJT7	Putative uncharacterized protein 
GRMZM5G819438	UniProtKB/TrEMBL	B6UH62	NudC domain-containing protein 2 
GRMZM2G492252	RefSeq peptide	NP_001147045	protein binding protein 
GRMZM2G340359	RefSeq peptide	NP_001146203	hypothetical protein LOC100279773 
GRMZM5G839429	UniProtKB/TrEMBL	C4J216	Putative uncharacterized protein 
GRMZM2G096165	RefSeq peptide	NP_001149097	ribosomal protein L36 containing protein 
GRMZM2G358416	RefSeq peptide	NP_001168609	hypothetical protein LOC100382393 
GRMZM5G854045	RefSeq peptide	NP_001145802	hypothetical protein LOC100279309 
AC210013.4_FG006	RefSeq peptide	NP_001136865	hypothetical protein LOC100217017 
GRMZM5G810054	UniProtKB/TrEMBL	C4J2H1	Putative uncharacterized protein 
AC210013.4_FG017	RefSeq peptide	NP_001142092	hypothetical protein LOC100274254 
AC210013.4_FG018	RefSeq peptide	NP_001144731	hypothetical protein LOC100277775 
AC210013.4_FG003	RefSeq peptide	NP_001152740	cycloartenol-C-24-methyltransferase 1 
GRMZM5G820337	UniProtKB/TrEMBL	C4J5L8	Putative uncharacterized protein 
GRMZM5G836683	RefSeq peptide	NP_001148882	cycloartenol-C-24-methyltransferase 1 
GRMZM5G853852	UniProtKB/TrEMBL	C4J195	Putative uncharacterized protein 
GRMZM5G897976	UniProtKB/TrEMBL	C4J5I4	Putative uncharacterized protein 
GRMZM5G819452	RefSeq DNA	NM_001174545	hypothetical protein LOC100381740 (LOC100381740), mRNA
GRMZM5G883250	RefSeq peptide	NP_001131909	hypothetical protein LOC100193298 
GRMZM5G844195	RefSeq peptide	NP_001145769	hypothetical protein LOC100279276 
GRMZM5G812662	UniProtKB/TrEMBL	C0PCI1	Putative uncharacterized protein 
GRMZM5G815545	RefSeq peptide	NP_001146429	hypothetical protein LOC100280011 
GRMZM2G163227	RefSeq peptide	NP_001144763	hypothetical protein LOC100277822 
GRMZM5G817776	UniProtKB/TrEMBL	C4J4P0	Putative uncharacterized protein 
GRMZM2G123900	RefSeq peptide	NP_001141831	hypothetical protein LOC100273972 
GRMZM2G092652	RefSeq peptide	NP_001159210	hypothetical protein LOC100304296 
GRMZM2G039826	RefSeq DNA	NM_001151455	hypothetical protein LOC100278051 (LOC100278051), mRNA
GRMZM5G808624	RefSeq peptide	NP_001147318	LOC100280926 
GRMZM2G067743	RefSeq peptide	NP_001106029	putative growth-regulating factor 11 
GRMZM2G096753	RefSeq peptide	NP_001105773	phosphoenolpyruvate carboxylase kinase 3 
GRMZM2G540538	UniProtKB/TrEMBL	B4FFH8	Adenosine kinase 2Putative uncharacterized protein ;
GRMZM2G029048	RefSeq peptide	NP_001143304	hypothetical protein LOC100275863 
GRMZM2G370991	RefSeq peptide	NP_001167981	hypothetical protein LOC100381700 
GRMZM5G813175	UniProtKB/TrEMBL	C0PKV2	Putative uncharacterized protein 
GRMZM5G881974	RefSeq peptide	NP_001170301	hypothetical protein LOC100384265 
GRMZM2G108384	RefSeq peptide	NP_001150688	LOC100284321 
GRMZM2G157716	RefSeq peptide	NP_001150940	mTERF-like protein 
AC188751.3_FG005	UniProtKB/TrEMBL	C4J463	Putative uncharacterized protein 
GRMZM2G329144	RefSeq peptide	NP_001149631	LOC100283257 
GRMZM2G444801	RefSeq peptide	NP_001148179	sulfate transporter 3.4 
GRMZM2G167338	RefSeq peptide	NP_001105870	telomerase reverse transcriptase catalytic subunit 
GRMZM5G807872	UniProtKB/TrEMBL	B7ZZ63	Putative uncharacterized protein 
GRMZM2G173641	RefSeq peptide	NP_001170088	hypothetical protein LOC100384006 
GRMZM2G173579	RefSeq peptide	NP_001131304	hypothetical protein LOC100192617 
GRMZM5G899300	RefSeq peptide	NP_001149777	LOC100283404 
GRMZM2G095075	RefSeq DNA	NM_001176846	hypothetical protein LOC100384284 (LOC100384284), mRNA
GRMZM2G448687	RefSeq peptide	NP_001106066	aberrant pollen transmission1 
GRMZM2G147366	UniProtKB/TrEMBL	B4FLS5	Putative uncharacterized protein 
GRMZM5G880228	UniProtKB/TrEMBL	C4IY96	Putative uncharacterized protein 
GRMZM5G895580	UniProtKB/TrEMBL	C4JA42	Putative uncharacterized protein 
GRMZM5G820735	UniProtKB/TrEMBL	B6T2I3	Putative uncharacterized protein 
GRMZM2G034503	RefSeq DNA	NM_001157356	decarboxylase family protein (LOC100284461), mRNA
GRMZM2G074899	UniProtKB/TrEMBL	B4FIJ1	Putative uncharacterized protein 
GRMZM5G807194	UniProtKB/TrEMBL	C4J4C1	Putative uncharacterized protein 
GRMZM2G113726	RefSeq peptide	NP_001170709	hypothetical protein LOC100384791 
GRMZM2G080724	RefSeq peptide	NP_001148190	retrotransposon protein 
GRMZM2G129684	RefSeq peptide	NP_001146566	hypothetical protein LOC100280162 
GRMZM2G163178	UniProtKB/TrEMBL	B4FP61	Putative uncharacterized protein 
GRMZM5G832498	UniProtKB/TrEMBL	C4J2R1	Putative uncharacterized protein 
GRMZM2G564284	RefSeq DNA	NM_001157169	mitochondrial 2-oxoglutarate/malate carrier protein (LOC100284274), nuclear gene encoding mitochondrial protein, mRNA
GRMZM5G829831	UniProtKB/TrEMBL	B8A192	Putative uncharacterized protein 
GRMZM5G899800	RefSeq peptide	NP_001140280	hypothetical protein LOC100272324 
GRMZM2G160201	UniProtKB/TrEMBL	B4FKZ9	Putative uncharacterized protein 
GRMZM5G813409	RefSeq peptide	NP_001170023	hypothetical protein LOC100383933 
GRMZM5G842992	UniProtKB/TrEMBL	C4J453	Putative uncharacterized protein 
GRMZM2G110244	UniProtKB/TrEMBL	B4FNB8	Putative uncharacterized protein 
GRMZM5G811069	RefSeq peptide	NP_001132385	hypothetical protein LOC100193831 
GRMZM2G038494	RefSeq peptide	NP_001141907	hypothetical protein LOC100274056 
GRMZM2G076392	RefSeq peptide	NP_001148043	LOC100281652 
GRMZM5G818760	UniProtKB/TrEMBL	B4FZG9	Putative uncharacterized protein 
GRMZM2G589696	RefSeq peptide	NP_001131772	hypothetical protein LOC100193142 
GRMZM5G812325	UniProtKB/TrEMBL	C4IZB7	Putative uncharacterized protein 
GRMZM2G549254	RefSeq peptide	YP_588416	hypothetical protein ZeamMp171 
GRMZM5G820575	RefSeq peptide	YP_588372	hypothetical protein ZeamMp112 
GRMZM5G831099	RefSeq peptide	YP_588374	hypothetical protein ZeamMp114 
GRMZM2G081037	RefSeq peptide	NP_001141129	hypothetical protein LOC100273215 
GRMZM2G100707	RefSeq peptide	NP_001152046	appr-1-p processing enzyme family protein 
GRMZM5G859683	UniProtKB/TrEMBL	C4J0Z7	Putative uncharacterized protein 
GRMZM5G831620	UniProtKB/TrEMBL	C0P575	Putative uncharacterized protein 
GRMZM5G896519	UniProtKB/TrEMBL	C4J4E3	Putative uncharacterized protein 
GRMZM5G826301	RefSeq peptide	NP_001146605	hypothetical protein LOC100280202 
GRMZM5G855347	RefSeq peptide	NP_001169491	hypothetical protein LOC100383364 
GRMZM2G179768	RefSeq DNA	NM_001158277	metalloendoproteinase 1 (LOC100285384), mRNA
GRMZM2G140070	RefSeq peptide	NP_001168653	hypothetical protein LOC100382440 
GRMZM5G812555	RefSeq DNA	NM_001155016	LOC100282103 (pco115429b), mRNA
GRMZM5G838098	RefSeq peptide	NP_001148303	pnFL-2 
GRMZM5G870932	RefSeq peptide	NP_001146178	hypothetical protein LOC100279748 
GRMZM2G013814	RefSeq DNA	NM_001150583	hypothetical protein LOC100276880 (LOC100276880), mRNA
GRMZM2G550865	RefSeq peptide	NP_001132437	hypothetical protein LOC100193888 
GRMZM5G882351	UniProtKB/TrEMBL	C4J5I5	Putative uncharacterized protein 
GRMZM2G111172	RefSeq peptide	NP_001147395	40S ribosomal protein S15 
GRMZM2G031441	RefSeq peptide	NP_001150749	MYB-like transcription factor DIVARICATA 
GRMZM2G104418	UniProtKB/TrEMBL	C0HIP8	Putative uncharacterized protein 
GRMZM2G322641	UniProtKB/TrEMBL	B4FD64	Putative uncharacterized protein 
GRMZM2G340130	RefSeq peptide	NP_001151572	YT521-B-like family protein 
GRMZM5G878490	UniProtKB/TrEMBL	B4FH90	Putative uncharacterized protein 
GRMZM5G854070	UniProtKB/TrEMBL	C0P5S7	Putative uncharacterized protein 
GRMZM5G805911	RefSeq peptide	NP_001168026	hypothetical protein LOC100381752 
GRMZM5G822237	RefSeq peptide	NP_001149410	cylicin-1 
GRMZM2G330772	RefSeq peptide	NP_001149376	syntaxin 132 
GRMZM5G864266	RefSeq peptide	NP_001169930	hypothetical protein LOC100383827 
GRMZM5G871297	RefSeq peptide	NP_001132900	hypothetical protein LOC100194398 
GRMZM5G885923	UniProtKB/TrEMBL	B6UGG3	Putative uncharacterized protein 
GRMZM2G568636	UniProtKB/Swiss-Prot	P17571	Nitrate reductase [NADH] Fragment (NR)(EC 1.7.1.1)
GRMZM5G848747	RefSeq peptide	NP_001147206	aspartic proteinase nepenthesin-2 
GRMZM2G476448	UniProtKB/TrEMBL	C4J6U2	Putative uncharacterized protein 
GRMZM2G075845	RefSeq peptide	NP_001143247	hypothetical protein LOC100275772 
GRMZM2G060485	UniProtKB/TrEMBL	C0HHQ1	Putative uncharacterized protein 
GRMZM2G037308	RefSeq peptide	NP_001148817	phytosulfokine receptor 
GRMZM5G861088	UniProtKB/TrEMBL	C4IYB9	Putative uncharacterized protein 
GRMZM5G839695	UniProtKB/TrEMBL	C4IYB9	Putative uncharacterized protein 
GRMZM5G807754	UniProtKB/TrEMBL	C0PLD6	Putative uncharacterized protein 
GRMZM2G057829	RefSeq peptide	NP_001142629	hypothetical protein LOC100274901 
GRMZM5G874697	RefSeq peptide	NP_001145317	hypothetical protein LOC100278632 
GRMZM2G039725	RefSeq peptide	NP_001146990	S-ribonuclease binding protein SBP1 
GRMZM5G890787	UniProtKB/TrEMBL	C0HH36	Putative uncharacterized protein 
GRMZM2G122740	RefSeq peptide	NP_001168239	hypothetical protein LOC100382001 
GRMZM2G020940	RefSeq peptide	NP_001142211	hypothetical protein LOC100274379 
GRMZM2G010657	UniProtKB/TrEMBL	B6TEL9	Putative uncharacterized protein 
GRMZM5G803160	UniProtKB/TrEMBL	C0PEZ7	Putative uncharacterized protein 
GRMZM5G836222	RefSeq peptide	NP_001105248	hypothetical protein LOC542155 
GRMZM2G143008	UniProtKB/Swiss-Prot	Q41768	Acetolactate synthase 1, chloroplastic Precursor (EC 2.2.1.6)(Acetohydroxy-acid synthase 1)
GRMZM5G829018	UniProtKB/TrEMBL	C4J5R0	Putative uncharacterized protein 
GRMZM2G010235	RefSeq peptide	NP_001150357	LITAF-domain-containing protein 
GRMZM5G872392	RefSeq DNA	NM_001153137	hypothetical protein LOC100280206 (LOC100280206), mRNA
GRMZM5G886785	RefSeq peptide	NP_001150492	LOC100284123 
GRMZM5G824395	RefSeq peptide	NP_001159139	hypothetical protein LOC100304217 
GRMZM2G136100	RefSeq peptide	NP_001170668	hypothetical protein LOC100384729 
GRMZM2G108085	RefSeq peptide	NP_001131408	hypothetical protein LOC100192737 
GRMZM2G071042	RefSeq peptide	NP_001106259	AN12 
GRMZM2G448895	RefSeq peptide	YP_588281	hypothetical protein ZeamMp015 
GRMZM2G567739	RefSeq peptide	YP_588303	hypothetical protein ZeamMp041 
GRMZM5G871980	RefSeq peptide	NP_001149004	SEC13-related protein 
GRMZM2G150714	RefSeq peptide	NP_001168329	hypothetical protein LOC100382097 
GRMZM2G043414	RefSeq peptide	NP_001147585	LOC100281194 
GRMZM2G048621	RefSeq peptide	NP_001151300	dehydration-responsive element-binding protein 1B 
GRMZM2G157019	RefSeq peptide	NP_001105066	LOC541933 
GRMZM2G027447	UniProtKB/TrEMBL	B8A109	Putative uncharacterized protein 
GRMZM2G047128	RefSeq DNA	NM_001150999	hypothetical protein LOC100277438 (LOC100277438), mRNA
GRMZM2G037334	RefSeq peptide	NP_001136864	hypothetical protein LOC100217016 
GRMZM2G315079	RefSeq peptide	NP_001152130	cys2/His2 zinc-finger transcription factor 
GRMZM2G703749	RefSeq peptide	NP_001168890	hypothetical protein LOC100382695 
GRMZM2G165506	RefSeq peptide	NP_001146979	pollen-specific protein C13 
GRMZM2G033538	RefSeq peptide	NP_001148703	LOC100282319 
GRMZM5G805426	RefSeq peptide	NP_001167974	hypothetical protein LOC100381691 
GRMZM2G429540	UniProtKB/TrEMBL	C0PHW4	Putative uncharacterized protein 
GRMZM2G129713	RefSeq DNA	NM_001149711	hypothetical protein LOC100275683 (LOC100275683), mRNA
GRMZM5G866288	UniProtKB/TrEMBL	C4J1V1	Putative uncharacterized protein 
GRMZM5G813343	RefSeq peptide	NP_001169347	hypothetical protein LOC100383214 
GRMZM5G876545	UniProtKB/TrEMBL	C0P4Q8	Putative uncharacterized protein 
GRMZM2G047968	RefSeq DNA	NM_001176110	hypothetical protein LOC100383462 (LOC100383462), mRNA
GRMZM5G871559	UniProtKB/TrEMBL	B6TZV2	Putative uncharacterized protein 
GRMZM5G879485	RefSeq peptide	NP_001145833	hypothetical protein LOC100279340 
GRMZM2G099010	RefSeq peptide	NP_001149884	catalytic/ hydrolase 
GRMZM5G846405	RefSeq peptide	NP_001145892	hypothetical protein LOC100279408 
GRMZM5G878185	RefSeq DNA	NM_001175317	hypothetical protein LOC100382587 (LOC100382587), mRNA
GRMZM5G802826	UniProtKB/TrEMBL	C4J169	Putative uncharacterized protein 
GRMZM2G180552	UniProtKB/TrEMBL	B7ZXR9	Putative uncharacterized protein 
AC217947.4_FG002	RefSeq peptide	NP_001136741	hypothetical protein LOC100216882 
GRMZM5G826389	RefSeq peptide	NP_001149213	LOC100282835 
GRMZM5G888848	RefSeq peptide	NP_001136766	hypothetical protein LOC100216908 
GRMZM5G882288	RefSeq peptide	NP_001169991	hypothetical protein LOC100383896 
GRMZM5G884011	UniProtKB/TrEMBL	B6UCA8	Putative uncharacterized protein 
GRMZM2G396640	RefSeq peptide	NP_001146191	hypothetical protein LOC100279761 
GRMZM2G088793	RefSeq peptide	NP_001168239	hypothetical protein LOC100382001 
GRMZM2G044481	UniProtKB/TrEMBL	B8A243	Putative uncharacterized protein 
GRMZM5G849971	RefSeq peptide	NP_001132746	hypothetical protein LOC100194233 
GRMZM2G330453	RefSeq peptide	NP_001143119	hypothetical protein LOC100275597 
GRMZM2G082174	RefSeq peptide	NP_001137030	hypothetical protein LOC100217199 
GRMZM2G459391	RefSeq peptide	NP_001150373	ATP-dependent Clp protease adaptor protein ClpS containing protein 
GRMZM5G803735	UniProtKB/TrEMBL	B6SMN7	Putative uncharacterized protein 
GRMZM5G848503	RefSeq peptide	NP_001168614	hypothetical protein LOC100382398 
GRMZM5G885711	UniProtKB/TrEMBL	C4J9V5	Putative uncharacterized protein 
GRMZM5G836285	UniProtKB/TrEMBL	B6U2L1	Putative uncharacterized protein 
GRMZM2G006781	RefSeq peptide	NP_001141821	hypothetical protein LOC100273962 
GRMZM2G137968	RefSeq peptide	NP_001147945	LOC100281554 
GRMZM5G899801	UniProtKB/TrEMBL	B7ZZ83	Putative uncharacterized protein 
GRMZM5G896082	RefSeq peptide	NP_001141772	hypothetical protein LOC100273908 
GRMZM2G056916	RefSeq peptide	NP_001168942	hypothetical protein LOC100382756 
GRMZM2G434219	RefSeq peptide	NP_001170142	hypothetical protein LOC100384071 
GRMZM5G808367	UniProtKB/TrEMBL	C4J0H4	Putative uncharacterized protein 
GRMZM5G848485	UniProtKB/TrEMBL	C4J1Z8	Putative uncharacterized protein 
GRMZM5G881775	UniProtKB/TrEMBL	B4FP25	40S ribosomal protein S19Putative uncharacterized protein ;
GRMZM5G839032	RefSeq peptide	YP_588413	hypothetical protein ZeamMp168 
GRMZM2G340470	RefSeq DNA	NM_001176864	hypothetical protein LOC100384309 (LOC100384309), mRNA
GRMZM5G897022	RefSeq DNA	NM_001165749	hypothetical protein LOC100304307 (LOC100304307), mRNA
GRMZM5G878347	RefSeq peptide	NP_001159221	hypothetical protein LOC100304307 
GRMZM5G822928	UniProtKB/TrEMBL	C4J4R9	Putative uncharacterized protein 
GRMZM5G856366	UniProtKB/TrEMBL	C4J2B6	Putative uncharacterized protein 
GRMZM5G846720	UniProtKB/TrEMBL	C0PAP8	Putative uncharacterized protein 
GRMZM5G888644	UniProtKB/TrEMBL	C4J8E0	Putative uncharacterized protein 
GRMZM5G894626	UniProtKB/TrEMBL	C4J1H2	Putative uncharacterized protein 
GRMZM5G826577	UniProtKB/TrEMBL	C0PCS0	Putative uncharacterized protein 
GRMZM5G898350	UniProtKB/TrEMBL	C4J292	Putative uncharacterized protein 
GRMZM5G878139	RefSeq peptide	NP_001148618	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1 
GRMZM5G881865	UniProtKB/TrEMBL	C4J6V4	Putative uncharacterized protein 
GRMZM5G810610	UniProtKB/TrEMBL	C4J6V4	Putative uncharacterized protein 
GRMZM5G813627	RefSeq peptide	NP_001152419	splicing factor U2AF 65 kDa subunit 
GRMZM5G813111	RefSeq peptide	NP_001130135	hypothetical protein LOC100191229 
GRMZM5G802858	RefSeq peptide	NP_001145755	hypothetical protein LOC100279262 
GRMZM5G845021	RefSeq peptide	NP_001131924	hypothetical protein LOC100193315 
GRMZM5G863586	UniProtKB/TrEMBL	C0PLY1	Putative uncharacterized protein 
GRMZM2G165208	RefSeq peptide	NP_001158956	40S ribosomal protein S29 
GRMZM2G165325	RefSeq peptide	NP_001143002	hypothetical protein LOC100275463 
GRMZM5G858914	UniProtKB/TrEMBL	C4IZ52	Putative uncharacterized protein 
GRMZM5G854435	RefSeq peptide	NP_001170266	hypothetical protein LOC100384223 
GRMZM5G860486	UniProtKB/TrEMBL	C4J0N1	Putative uncharacterized protein 
AC231426.1_FG002	RefSeq peptide	NP_001131452	hypothetical protein LOC100192787 
GRMZM5G873259	UniProtKB/TrEMBL	B6UI60	Putative uncharacterized protein 
GRMZM2G328060	RefSeq peptide	NP_001169520	hypothetical protein LOC100383394 
GRMZM2G303331	UniProtKB/TrEMBL	C4J1U2	Putative uncharacterized protein 
GRMZM5G835721	RefSeq peptide	NP_001131960	hypothetical protein LOC100193356 
GRMZM2G031615	RefSeq peptide	NP_001141692	hypothetical protein LOC100273821 
GRMZM5G865319	RefSeq peptide	NP_001131988	hypothetical protein LOC100193387 
GRMZM2G101446	RefSeq peptide	NP_001146785	hypothetical protein LOC100280388 
GRMZM2G078143	RefSeq peptide	NP_001131153	hypothetical protein LOC100192461 
GRMZM5G837018	RefSeq peptide	NP_001140261	hypothetical protein LOC100272304 
AC205475.2_FG003	UniProtKB/TrEMBL	C0PFQ4	Putative uncharacterized protein 
GRMZM5G892096	UniProtKB/TrEMBL	B7ZWS6	Putative uncharacterized protein 
GRMZM5G842426	UniProtKB/TrEMBL	C4IZY5	Putative uncharacterized protein 
GRMZM5G854533	RefSeq peptide	NP_001150122	LOC100283751 
GRMZM5G829206	UniProtKB/TrEMBL	C4J3I6	Putative uncharacterized protein 
GRMZM5G837113	UniProtKB/TrEMBL	C0P2H7	Putative uncharacterized protein 
GRMZM2G126795	RefSeq peptide	NP_001145835	hypothetical protein LOC100279342 
GRMZM5G841524	UniProtKB/TrEMBL	C4J5L1	Putative uncharacterized protein 
GRMZM5G845891	RefSeq peptide	NP_001146782	hypothetical protein LOC100280385 
GRMZM2G473016	RefSeq peptide	NP_001149547	RHC1A 
GRMZM5G862945	RefSeq peptide	NP_001132798	hypothetical protein LOC100194287 
GRMZM2G079316	RefSeq peptide	NP_001143667	hypothetical protein LOC100276390 
GRMZM5G897224	RefSeq peptide	NP_001141868	hypothetical protein LOC100274011 
GRMZM5G834734	RefSeq DNA	NM_001148396	LOC100274011 (cl859_2), mRNA
GRMZM2G151440	RefSeq peptide	NP_001130254	hypothetical protein LOC100191348 
GRMZM5G893392	RefSeq peptide	NP_001143317	hypothetical protein LOC100275888 
GRMZM5G862882	RefSeq peptide	NP_001141097	hypothetical protein LOC100273180 
GRMZM2G149930	RefSeq peptide	NP_001144907	hypothetical protein LOC100278018 
GRMZM5G857944	RefSeq peptide	NP_001149075	nuclear transcription factor Y subunit A-3 
GRMZM2G049194	RefSeq peptide	NP_001169431	hypothetical protein LOC100383302 
GRMZM5G842517	RefSeq peptide	NP_001137491	autophagy-related 12 
GRMZM5G893117	RefSeq DNA	NM_001112557	growth-regulating factor 9-like (GRF9), mRNA
AC212728.3_FG001	UniProtKB/TrEMBL	C4J9R2	Putative uncharacterized protein 
GRMZM2G085301	RefSeq peptide	NP_001141928	hypothetical protein LOC100274077 
GRMZM5G854925	UniProtKB/TrEMBL	C0HI58	Putative uncharacterized protein 
GRMZM2G003108	RefSeq peptide	NP_001151588	CRAL/TRIO domain containing protein 
GRMZM5G851067	RefSeq peptide	NP_001170358	hypothetical protein LOC100384336 
GRMZM2G119186	RefSeq peptide	NP_001142940	hypothetical protein LOC100275381 
GRMZM2G458266	RefSeq peptide	NP_001146325	hypothetical protein LOC100279901 
GRMZM2G406974	RefSeq peptide	NP_001169905	hypothetical protein LOC100383800 
GRMZM2G107076	RefSeq peptide	NP_001149377	dihydroflavonol-4-reductase 
GRMZM2G165270	RefSeq peptide	NP_001141140	hypothetical protein LOC100273226 
GRMZM5G899149	RefSeq peptide	NP_001131883	hypothetical protein LOC100193262 
GRMZM5G889126	RefSeq peptide	NP_001167734	hypothetical protein LOC100381422 
GRMZM2G041878	RefSeq peptide	NP_001145206	hypothetical protein LOC100278461 
GRMZM2G172376	RefSeq peptide	NP_001142262	hypothetical protein LOC100274431 
GRMZM5G834518	RefSeq peptide	NP_001147465	glycerol 3-phosphate permease 
GRMZM5G865909	UniProtKB/TrEMBL	B8A3T3	Putative uncharacterized protein 
GRMZM2G054805	RefSeq peptide	NP_001131727	hypothetical protein LOC100193092 
GRMZM2G703555	RefSeq peptide	NP_001149343	dnaJ subfamily C member 8 
GRMZM2G066120	RefSeq peptide	NP_001140659	hypothetical protein LOC100272734 
GRMZM2G100620	RefSeq peptide	NP_001140524	hypothetical protein LOC100272589 
GRMZM5G872184	UniProtKB/TrEMBL	C4J1A1	Putative uncharacterized protein 
GRMZM2G070034	RefSeq peptide	NP_001168784	hypothetical protein LOC100382583 
GRMZM5G877941	RefSeq peptide	NP_001142976	hypothetical protein LOC100275430 
GRMZM5G851654	RefSeq peptide	NP_001141311	hypothetical protein LOC100273402 
GRMZM5G841607	UniProtKB/TrEMBL	C4J651	Putative uncharacterized protein 
GRMZM2G095969	RefSeq peptide	NP_001149350	LOC100282974 
GRMZM2G324471	RefSeq peptide	NP_001132789	hypothetical protein LOC100194278 
GRMZM5G805105	RefSeq peptide	NP_001132484	hypothetical protein LOC100193943 
GRMZM2G052985	RefSeq peptide	NP_001142069	hypothetical protein LOC100274226 
GRMZM2G409771	RefSeq peptide	NP_001169249	hypothetical protein LOC100383110 
GRMZM2G032214	RefSeq peptide	NP_001169377	hypothetical protein LOC100383245 
GRMZM2G128160	RefSeq peptide	NP_001143180	hypothetical protein LOC100275680 
GRMZM5G862107	RefSeq peptide	NP_001150148	LOC100283777 
GRMZM5G872256	RefSeq peptide	NP_001105750	LOC606405 
GRMZM5G804292	UniProtKB/TrEMBL	C4J5Z3	Putative uncharacterized protein 
GRMZM2G131785	RefSeq peptide	NP_001130243	hypothetical protein LOC100191337 
GRMZM2G426964	RefSeq peptide	NP_001159206	hypothetical protein LOC100304292 
GRMZM2G056099	RefSeq peptide	NP_001137124	hypothetical protein LOC100217305 
GRMZM5G807962	UniProtKB/TrEMBL	C4J175	Putative uncharacterized protein 
GRMZM5G890331	RefSeq peptide	NP_001170736	hypothetical protein LOC100384827 
GRMZM5G824626	UniProtKB/TrEMBL	B8A0S1	Putative uncharacterized protein 
GRMZM2G112428	RefSeq peptide	NP_001158940	hypothetical protein LOC100303849 
GRMZM2G033846	RefSeq peptide	NP_001147406	caltractin 
GRMZM5G818936	UniProtKB/TrEMBL	C0P2C0	Putative uncharacterized protein 
GRMZM2G022662	RefSeq peptide	NP_001149082	elongation factor P 
GRMZM2G082312	RefSeq peptide	NP_001140425	hypothetical protein LOC100272482 
GRMZM2G035248	RefSeq peptide	NP_001143275	hypothetical protein LOC100275806 
GRMZM5G866581	UniProtKB/TrEMBL	C4JBS6	Putative uncharacterized protein 
GRMZM2G089556	UniProtKB/TrEMBL	B6SPL4	Origin recognition complex subunit 5 
GRMZM5G808610	RefSeq peptide	NP_001150416	26S proteasome non-ATPase regulatory subunit 10 
GRMZM5G858887	RefSeq peptide	NP_001130650	hypothetical protein LOC100191751 
GRMZM5G862540	RefSeq peptide	NP_001149225	LOC100282847 
GRMZM5G883008	UniProtKB/TrEMBL	C0PNN1	Putative uncharacterized protein 
GRMZM5G875251	UniProtKB/TrEMBL	C4IZV7	Putative uncharacterized protein 
GRMZM2G021110	RefSeq peptide	NP_001150104	LOC100283733 
GRMZM2G099745	RefSeq peptide	NP_001147003	LOC100280613 
GRMZM2G052880	RefSeq peptide	NP_001146894	SNARE-interacting protein KEULE 
GRMZM5G816031	RefSeq peptide	NP_001169965	hypothetical protein LOC100383865 
GRMZM2G098423	RefSeq peptide	NP_001148319	LOC100281928 
AC208023.3_FG001	RefSeq peptide	NP_001148682	protein transport protein SEC61 gamma subunit 
GRMZM2G101754	RefSeq peptide	NP_001168289	hypothetical protein LOC100382053 
GRMZM5G836460	RefSeq peptide	NP_001169139	hypothetical protein LOC100382984 
GRMZM5G803556	RefSeq peptide	NP_001147073	ATP binding protein 
GRMZM5G814779	UniProtKB/TrEMBL	C4J8P8	Putative uncharacterized protein 
GRMZM5G842695	RefSeq DNA	NM_001155704	transparent testa 12 protein (LOC100282798), mRNA
GRMZM2G436092	RefSeq peptide	NP_001137034	hypothetical protein LOC100217203 
GRMZM5G817689	UniProtKB/TrEMBL	C0PAI7	Putative uncharacterized protein 
GRMZM5G847000	RefSeq DNA	NM_001176092	hypothetical protein LOC100383442 (LOC100383442), mRNA
GRMZM5G832890	RefSeq peptide	NP_001168545	hypothetical protein LOC100382325 
GRMZM5G867798	RefSeq peptide	NP_001146903	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 
GRMZM5G800391	RefSeq peptide	NP_001144337	hypothetical protein LOC100277235 
GRMZM5G880541	RefSeq DNA	NM_001149831	hypothetical protein LOC100275859 (LOC100275859), mRNA
GRMZM5G859537	UniProtKB/TrEMBL	C4J845	Putative uncharacterized protein 
GRMZM2G126834	RefSeq peptide	NP_001104864	response regulator 10 
GRMZM2G025255	RefSeq DNA	NM_001155820	RNA-binding protein (LOC100282914), mRNA
GRMZM2G131554	RefSeq peptide	NP_001146310	hypothetical protein LOC100279886 
GRMZM5G858006	UniProtKB/TrEMBL	C4J3M9	Putative uncharacterized protein 
GRMZM2G053434	RefSeq peptide	NP_001131315	hypothetical protein LOC100192629 
GRMZM5G887009	UniProtKB/TrEMBL	C4J2H7	Putative uncharacterized protein 
GRMZM5G820832	RefSeq peptide	NP_001145599	hypothetical protein LOC100279076 
GRMZM5G824920	RefSeq peptide	NP_001150141	glucan endo-1,3-beta-glucosidase 3 
GRMZM5G808266	UniProtKB/TrEMBL	C4J6V0	Putative uncharacterized protein 
AC233893.1_FG001	UniProtKB/Swiss-Prot	Q9FUN0	Homocysteine S-methyltransferase 1 (EC 2.1.1.10)(S-methylmethionine:homocysteine methyltransferase 1)(SMM:Hcy S-methyltransferase 1)(ZmHMT-1)
