GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
AC191771.3_FG008	AC191771.3_FG008	NP_001130187	-	-	-	-	-	hypothetical protein LOC100191281 	AT3G51100			-			
GRMZM2G318375	GRMZM2G318375	-	-	-	-	-	-	-				-			
AC233850.1_FG002	AC233850.1_FG002	NP_001152694	-	-	-	-	-	pectinesterase inhibitor domain containing protein 	AT5G46960		Plant invertase/pectin methylesterase inhibitor superfamily protein	-	2.5.1.78		GO:GO:0004857
GRMZM2G451254	GRMZM2G451254	B6SIV8	-	-	-	-	-	Histone H3 	AT1G09200		Histone superfamily protein	-		K11253	GO:GO:0003677,GO:GO:0000786
GRMZM2G117238	orc2	NP_001105071	Chr5	190,532,565	190,536,335	orc2	origin recognition complex2	origin recognition complex subunit 2 	AT2G37560	ATORC2,ORC2	origin recognition complex second largest subunit 2	-			GO:GO:0006260,GO:GO:0005634,GO:GO:0000808
GRMZM2G108087	ATSYP22,ATVAM3,SGR3,SYP22,VAM3(Ara)	B4FGW6	-	-	-	-	-	Putative uncharacterized protein 	AT5G46860	ATSYP22,ATVAM3,SGR3,SYP22,VAM3	Syntaxin/t-SNARE family protein	-		K08488	
GRMZM2G075562	col5	NP_001159328	Chr5	204,223,654	204,228,519	col5	C2C2-CO-like-transcription factor 5	hypothetical protein LOC100304421 	AT5G48250		B-box type zinc finger protein with CCT domain	DBB			GO:GO:0008270,GO:GO:0005622,GO:GO:0005515
GRMZM2G101613	cki5	NP_001149832	Chr5	209,770,434	209,772,179	cki5	cyclin-dependent kinase inhibitor5	cyclin-dependent kinase inhibitor 2 	AT5G48820	ICK6,KRP3	inhibitor/interactor with cyclin-dependent kinase	-			GO:GO:0007050,GO:GO:0005634,GO:GO:0004861
GRMZM5G870170	mate1	NP_001164052	Chr6	5,869,544	5,874,565	mate1	multidrug and toxic compound extrusion1	MATE family protein 	AT1G51340		MATE efflux family protein	-			GO:GO:0055085,GO:GO:0016020,GO:GO:0015297,GO:GO:0015238,GO:GO:0006855
GRMZM2G020091	TET3(Ara)	NP_001148981	-	-	-	-	-	LOC100282601 	AT3G45600	TET3	tetraspanin3	-			GO:GO:0016021
GRMZM2G020091	TET3(Ara)	NP_001148981	-	-	-	-	-	LOC100282601 	AT3G45600	TET3	tetraspanin3	-			GO:GO:0016021
GRMZM2G479746	GRMZM2G479746	B4FKD8	-	-	-	-	-	Putative uncharacterized protein 	AT5G18640		alpha/beta-Hydrolases superfamily protein	-			GO:GO:0006629
GRMZM2G179550	GRMZM2G179550	-	-	-	-	-	-	-				-			
GRMZM2G137593	GRMZM2G137593	NP_001144663	-	-	-	-	-	hypothetical protein LOC100277688 	AT5G44250		Protein of unknown function DUF829, transmembrane 53	-			
GRMZM2G121262	fen1	B4FHY0	Chr6	161,916,081	161,920,668	fen1	flap endonuclease1	Putative uncharacterized protein 	AT5G26680		5\'-3\' exonuclease family protein	-	3.1.16.1	K04799	GO:GO:0004518,GO:GO:0006281
GRMZM2G052129	GRMZM2G052129	NP_001143603	-	-	-	-	-	hypothetical protein LOC100276315 	AT4G23895		Pleckstrin homology (PH) domain-containing protein	-			
GRMZM2G164265	GRMZM2G164265	NP_001152463	-	-	-	-	-	ATP binding protein 	AT3G03940		Protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G116517	GRMZM2G116517	B6STD7	-	-	-	-	-	Cytochrome c oxidase copper chaperone 	AT1G53030		Cytochrome C oxidase copper chaperone (COX17)	-		K02260	GO:GO:0016531,GO:GO:0006825,GO:GO:0005758,GO:GO:0005507
GRMZM2G098999	GRMZM2G098999	-	-	-	-	-	-	-	AT4G34550			-			
GRMZM2G056079	GRMZM2G056079	-	-	-	-	-	-	-	AT1G68650		Uncharacterized protein family (UPF0016)	-			
GRMZM2G063144	ATMPK20,MPK20(Ara)	-	-	-	-	-	-	-	AT2G42880	ATMPK20,MPK20	MAP kinase 20	-	2.7.11.24		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G128748	GRMZM2G128748	NP_001169612	-	-	-	-	-	hypothetical protein LOC100383493 	AT1G64110		P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	3.6.4.3		GO:GO:0009378,GO:GO:0006310,GO:GO:0006281
GRMZM2G073884	GRMZM2G073884	NP_001146150	-	-	-	-	-	hypothetical protein LOC100279719 	AT3G47570		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0005515,GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G050548	GRMZM2G050548	-	-	-	-	-	-	-	AT2G26730		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G050548	GRMZM2G050548	-	-	-	-	-	-	-	AT2G26730		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM5G857641	GRMZM5G857641	-	-	-	-	-	-	-	AT2G37980		O-fucosyltransferase family protein	-			
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G111511	ATNAP13,EMB2751(Ara)	NP_001152143	-	-	-	-	-	cobalt import ATP-binding protein cbiO 2 	AT4G33460	ATNAP13,EMB2751	ABC transporter family protein	-			GO:GO:0016887,GO:GO:0005524
GRMZM2G111511	ATNAP13,EMB2751(Ara)	NP_001152143	-	-	-	-	-	cobalt import ATP-binding protein cbiO 2 	AT4G33460	ATNAP13,EMB2751	ABC transporter family protein	-			GO:GO:0016887,GO:GO:0005524
GRMZM5G817759	GRMZM5G817759	NP_001140399	-	-	-	-	-	hypothetical protein LOC100272453 	AT1G26180			-			
GRMZM2G465169	pza02861	-	Chr9	43,841,651	43,847,738	pza02861		-	AT4G26760	MAP65-2	microtubule-associated protein 65-2	-		K16732	GO:GO:0008017,GO:GO:0000910,GO:GO:0000226
GRMZM2G026889	GRMZM2G026889	NP_001148114	-	-	-	-	-	transferase, transferring glycosyl groups 	AT4G16600		Nucleotide-diphospho-sugar transferases superfamily protein	-	2.4.1.186		
GRMZM2G137816	GRMZM2G137816	NP_001145189	-	-	-	-	-	hypothetical protein LOC100278439 	AT5G67370		Protein of unknown function (DUF1230)	-			
